Esquadro,,Vonder,ESQ-311/1,ESQ-311/1,N/C,N/C,LAFTEC,2423158,2024-07-25,2026-07-15,ALMOXARIFADO
Esquadro,,Stanley,ESQ-312,ESQ-312,N/C,46-536,LAFTEC,2421244,2024-07-19,2026-07-09,OBRA 118
Esquadro,,Stanley,ESQ-313,ESQ-313,N/C,46-536,LAFTEC,2421245,2024-07-19,2026-07-09,OBRA 118
Esquadro,,Stanley,ESQ-314,ESQ-314,N/C,46-536,LAFTEC,2421246,2024-07-19,2026-07-09,ALMOXARIFADO
Esquadro,,Stanley,ESQ-315,ESQ-315,N/C,46-536,LAFTEC,2421247,2024-07-19,2026-07-09,OBRA 118
Esquadro,,Stanley,ESQ-316,ESQ-316,N/C,46-536,LAFTEC,2421248,2024-07-19,2026-07-09,ALMOXARIFADO
Esquadro,,Stanley,ESQ-317,ESQ-317,N/C,46-536,LAFTEC,2421249,2024-07-19,2026-07-09,ALMOXARIFADO
Esquadro,,Stanley,ESQ-318,ESQ-318,N/C,46-536,LAFTEC,2421250,2024-07-19,2026-07-09,ALMOXARIFADO
Esquadro,,Starrett,MDA-001,MDA-001,N/C,53M-300,LAFTEC,2305351,2023-03-07,2025-02-24,OBRA 118
Esquadro Analógico,,Stanley,ES-03,ES-03,N/C,46-536,TECNICA CALIB.,2001361,2020-03-12,2022-03-02,ALMOXARIFADO
Esquadro Analógico,,Stanley,ESQ-093,ESQ-093,N/C,46-536,TECNICA CALIB.,2001362,2020-03-12,2022-03-02,ALMOXARIFADO
Esquadro Analógico,,N/C,ESQ-001,ESQ-001,N/C,N/C,LAF METROLOGIA,1800638,2018-02-06,2020-01-27,ALMOXARIFADO
Esquadro Analógico,,N/C,ESQ-071,ESQ-071,N/C,N/C,LAF METROLOGIA,1800639,2018-02-06,2020-01-27,ALMOXARIFADO
Esquadro Analógico,,N/C,ESQ-09/A,ESQ-09/A,N/C,N/C,LAF METROLOGIA,1800640,2018-02-06,2020-01-27,ALMOXARIFADO
Esquadro Analógico,,Stanley,ESQ-248/A,ESQ-248/A,N/C,N/C,LAF METROLOGIA,1800642,2018-02-06,2020-01-27,ALMOXARIFADO
Esquadro Combinado,,Digimess,1077,1077,4-4070543,N/C,LAFTEC,2415682,2024-06-14,2026-06-04,OBRA 118
Esquadro Combinado,,Zaas,1840,1840,12050541,NC,LAFTEC,2415684,2024-06-18,2026-06-08,OBRA 118
Esquadro Combinado,,Digimess,1841,1841,NC,180-202,LAFTEC,2415681,2024-06-18,2026-06-08,OBRA 118
Esquadro Combinado,,Zaas,1842,1842,12050541,NC,LAFTEC,2415683,2024-06-18,2026-06-08,OBRA 118
Esquadro de Fio,,Insize,ESP-001,ESP-001,111780143,4790-2500,LAFTEC,2415678,2024-06-14,2026-06-04,OBRA 118
Esquadro de Lâmina,,Stanley,ES-022,ES-022,N/C,N/C,METRUS,D0688028-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ES-18,ES-18,N/C,N/C,METRUS,D0688029-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ESQ-057,ESQ-057,N/C,N/C,METRUS,D0688030-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Ramada,ESQ-110,ESQ-110,N/C,N/C,METRUS,D0688026-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ESQ-111/A,ESQ-111/A,N/C,N/C,METRUS,D0688008-1118,2018-11-13,2021-05-01,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ESQ-112/A,ESQ-112/A,N/C,N/C,METRUS,D0688009-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,N/C,ESQ-139/A,ESQ-139/A,N/C,N/C,METRUS,D0688027-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ESQ-184,ESQ-184,N/C,N/C,METRUS,D0688025-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ESQ-186,ESQ-186,N/C,N/C,METRUS,D0688034-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Lâmina,,Stanley,ESQ-188,ESQ-188,N/C,N/C,METRUS,D0688033-0619,2019-06-10,2021-11-26,ALMOXARIFADO
