"Descrição","Especificação","Fabricante","Patrimônio","TAG","Número de Série","Modelo","Laboratório de Calibração","Certificado de Calibração nº","Data da Calibração","Data Próxima Calibração","Obra/Local"
"Alicate Amperimetro",,"Minipa",1251,1251,"ET-320A290748","ET-3200A","TÉCNICA CALIB.",2001354,04/03/20,22/02/22,"ALMOXARIFADO"
"Alicate Amperimetro",,"Minipa",1412,1412,"ET2651001482","ET-2651","LAF METROLOGIA",1800616,08/02/18,29/01/20,"ALMOXARIFADO"
"Alicate Amperimetro",,"Minipa",1421,1421,"ET320A322396","ET-3200A","LAFTEC",2415647,24/06/24,14/06/26,"OBRA 118"
"Alicate Amperimetro",,"Minipa",1422,1422,"ET-320A322399","ET-3200A","LAF METROLOGIA",1800615,08/02/18,29/01/20,"ALMOXARIFADO"
"Alicate Amperimetro",,"Fluke",1915,1915,"40440567WS",325,"LAFTEC",2305350,10/03/23,27/02/25,"OBRA 118"
"Alicate Amperimetro",,"Fluke",2000,2000,"48765280MV",325,"TECNICA CALIB.",2504613,17/02/25,07/02/27,"OBRA 118"
"Alicate Amperimetro",,"Minipa","AL-12","AL-12","N/C","ET-3810","LAF METROLOGIA",1800614,08/02/18,29/01/20,"ALMOXARIFADO"
"Alicate Amperimetro Digital",,"Minipa",572,572,"N/C","ET-3166","METRUS","E0688004-0619",04/06/19,24/05/21,"ALMOXARIFADO"
"Alicate Amperimetro Digital",,"Minipa",861,861,"N/C","ET-3200A","LAFTEC","E0688001-0618",08/06/18,28/05/20,"ALMOXARIFADO"
"Alicate Amperimetro Digital",,,862,862,"ET320A240644","ET-3200A","LAFTEC",2415648,24/06/24,14/06/26,"OBRA 118"
"Alicate Amperimetro Digital",,"Fluke",1914,1914,"40440566WS",325,"LAFTEC",2504612,17/02/25,07/02/27,"OBRA 118"
"Alicate Amperimetro Digital",,"Fluke",2042,2042,"54782711MV",325,"LAFTEC",2434026,18/10/24,08/10/26,"OBRA 118"
"Alicate Amperimetro Digital",,"Fluke",2113,2113,"58600204MV",326,"LAFTEC",2307943,28/03/23,17/03/25,"OBRA 118"
"Axial (HIDROMETRO)","BOING","AKVOMETER","L22AK0000016","L22AK0000016","L22AK0000016","N/C","HIDROMETER","08090/25A",13/03/25,03/03/27,"OBRA 118"
"Balança ",,"Filizola","BAL-001","BAL-001","3115/2008","MF-6/1","LAF METROLOGIA",1800661,07/02/18,28/01/20,"ALMOXARIFADO"
"Balança Digital",,"Welmy",1922,1922,21331,"BCW6/15/30","LAFTEC",2415650,19/06/24,19/06/25,"OBRA 118"
"Balança Eletronica","BOING","Toledo","N/C","N/C",13311593,"2099/38","BILLMAKER QUALIDADE","18474/24",28/10/24,28/10/25,"OBRA 118"
"Barra Padrão",,"Digimess","BPA-001","BPA-001","N/C","N/C","METROLOGIA 9000","MTR 2430-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-002","BPA-002","N/C","N/C","METROLOGIA 9000","MTR 2431-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-003","BPA-003","N/C","N/C","METROLOGIA 9000","MTR 2432-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-004","BPA-004","N/C","N/C","METROLOGIA 9000","MTR 2433-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-005","BPA-005","N/C","N/C","METROLOGIA 9000","MTR 2434-20",14/07/20,18/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-006","BPA-006","N/C","N/C","METROLOGIA 9000","MTR 2435-20",14/07/20,18/06/25,"ALMOXARIFADO"
"Bloco Curvo - Padrão de Calib.- Phased Array",,"SBF END","N/C","N/C","N/C","N/C","SBF END","002737-21",08/11/21,13/10/26,"ALMOXARIFADO"
"Bloco Escalonado",,"SBF END","BL 02","BL 02",1911617,"N/C","LAFTEC",2300722,23/01/23,12/01/25,"OBRA 118"
"Bloco Escalonado",,"SBF END","BL 03","BL 03",1911717,"N/C","METROLOGIA 9000","MTR2415-20",14/07/20,04/07/22,"ALMOXARIFADO"
"Bloco Escalonado",,"SBF END","BL 04","BL 04",1911817,"N/C","METROLOGIA 9000","MTR2417-20",14/07/20,04/07/22,"ALMOXARIFADO"
"Bloco Escalonado",,"SBF END","BL 06","BL 06",1912017,"N/C","LAFTEC",2211561,30/05/22,19/05/24,"ALMOXARIFADO"
"Bloco Escalonado ",,"N/C",1934,1934,"N/C","BLOCO ESC","LAFTEC",2415651,18/06/24,08/06/26,"OBRA 118"
"Bloco Escalonado -ME",,"N/C","ECO-0028","ECO-0028","N/C","N/C","PRESERTEC","012509-19",01/09/19,21/08/21,"ALMOXARIFADO"
"Bloco Escalonado -US","Locado","N/C","BLE-TUC-005","BLE-TUC-005","N/C","N/C","PRESERTEC","005427-21",17/03/21,07/03/23,"ALMOXARIFADO"
"Bloco Jis",,"N/C",839,839,"N/C","N/C","Eishin Kagaku","N/C",22/05/08,"INDETERMINADO","OBRA 118"
"Bloco Padrão",,,305,305,,,,,,,"ALMOXARIFADO"
"Bloco Padrão",,,309,309,,,,,,,"ALMOXARIFADO"
"Bloco Padrão Massa",,"N/C","CP-318","CP-318","N/C","N/C","TECNOISO",13103220218,18/02/22,23/01/27,"ALMOXARIFADO"
"Calibrador Digital (Isocal)","Locado (master automação)","Presys",89,89,"214.09.14","Isocal MCS-8","SOCINTEC","RI 1530/22",12/05/22,12/05/23,"ALMOXARIFADO"
"Calibre de Solda","0 mm | 45 mm","Carbografite","CAS-004","CAS-004","N/C","CE-CG 298","LAFTEC",2306020,09/03/23,26/02/25,"ALMOXARIFADO"
"Calibre de Solda",,"Carbografite","CAS-015","CAS-015","N/C","N/C","LAFTEC",2217129,04/08/22,24/07/24,"ALMOXARIFADO"
"Calibre de Solda",,,"CAS-016","CAS-016","N/C","CG CAM Gauge","LAFTEC",2415658,18/06/24,08/06/26,"OBRA 118"
"Calibre de Solda","0 mm | 60 mm","Carbografite","CAS-021","CAS-021","N/C","CG Cam Gauge","LAFTEC",2305357,07/03/23,24/02/25,"OBRA 118"
"Calibre de Solda","0 mm | 20 mm","Calibre de Solda","CAS-022","CAS-022","N/C","N/C","LAFTEC",2517535,04/06/25,25/05/27,"OBRA 121"
"Calibre de Solda ",,"Carbografite","99-01","99-01","N/C","N/C","LAFTEC",2517536,04/06/25,25/05/27,"OBRA 121"
"Calibre de Solda ","0 mm | 45 mm","Carbografite","CAS-040",40,"N/C","CE-CG298","LAFTEC",2224242,24/10/22,13/10/24,"ALMOXARIFADO"
"Calibre de Solda ",,"Carbografite","CS-001","CS-001","N/C","N/C","TÉCNICA CALIB.",2000033,27/01/20,16/01/22,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo",,"Carbografite","CAS-025","CAS-025","CAS-025","CE-CG298","LAFTEC",2421858,23/07/24,13/07/26,"OBRA 121"
"Calibre de Solda - Hi-Lo",,"Carbografite","CAS-026","CAS-026","N/C","CE-CG298","LAFTEC",2415657,14/06/24,04/06/26,"OBRA 118"
"Calibre de Solda - Hi-Lo","0 mm | 45 mm","Carbografite","CAS-030","CAS-030","N/C","CE-CG298","LAFTEC",2306019,09/03/23,26/02/25,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo","0 mm | 45 mm","Carbografite","CAS-033","CAS-033","N/C","CE-CG298","LAFTEC",2421861,23/07/24,13/07/26,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo",,"Carbografite","CAS-041","CAS-041","N/C","CE-CG298","METRUS",2415656,14/06/24,04/06/26,"OBRA 118"
"Calibre de Solda - Hi-Lo","0 mm | 45 mm","Carbografite","CAS-044",44,"N/C","N/C","LAFTEC",2421859,23/07/24,13/07/26,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo","0 mm | 45 mm","Zaas","CAS-046",46,"N/C","113-0016","LAFTEC",2421860,23/07/24,13/07/26,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo","0 mm | 45 mm","Zaas","CAS-047",47,"N/C","113-0016","LAFTEC",2421862,23/07/24,13/07/26,"OBRA 120"
"Calibre de Solda - Hi-Lo","0 mm | 45 mm","Zaas","CAS-048",48,"N/C","113-0016","LAFTEC",2421863,23/07/24,13/07/26,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo",,"Carbografite","CAS-43",43,"N/C","N/C","LAFTEC",2214748,01/07/22,20/06/24,"ALMOXARIFADO"
"Calibre de Solda - Hi-Lo",,"Carbografite","CAS-45",45,"N/C","N/C","LAFTEC",2214750,01/07/22,20/06/24,"ALMOXARIFADO"
"Cappo Plus - Calibrador Portáti Microproc.",,"Ecil","CCP-001","CCP-01","N/C","Cappo Plus","METRUS","E0688001-1221",29/12/21,24/12/22,"ALMOXARIFADO"
"Conjunto de Filmes Padrão (Bloco Padrão)",,"N/C",1370,1370,"N/C","N/C","METRUS","D0688002-1121",23/11/21,28/10/26,"ALMOXARIFADO"
"Conjunto de Filmes Padrão (Bloco Padrão)",,"Instrutherm","1812/F","1812/F","N/C","N/C","TECNICA CALIB.",2004563,14/08/20,19/07/25,"ALMOXARIFADO"
"Conjunto de Filmes Padrão (Bloco Padrão)",,"DeFelsko","WS-824-1","WS-824-1","N/C","N/C","TECNOISO",8703220221,21/02/22,21/02/23,"ALMOXARIFADO"
"Conjunto de Filmes Padrão (Bloco Padrão)",,"DeFelsko","WS-824-2","WS-824-2","N/C","N/C","TECNOISO",8705220221,21/02/22,21/02/23,"ALMOXARIFADO"
"Conjunto de Filmes Padrão (Bloco Padrão)",,"DeFelsko","WS-824-3","WS-824-3","N/C","N/C","TECNOISO",8704220221,21/02/22,21/02/23,"ALMOXARIFADO"
"Controlador de Temperatura",,"Autonics ","CT-001","CT-001","N/C","TCN4S-24R","LAF METROLOGIA",1800610,07/02/18,28/01/20,"ALMOXARIFADO"
"Controlador de Temperatura",,"Coel","CT-002","CT-002",14201101,"TLK48","LAF METROLOGIA",1800611,07/02/18,28/01/20,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"N/C",600,600,"KA419-6011276","N/C","CLEAN ENVIROMENT","0342.25",20/03/25,20/03/26,"OBRA 118"
"Detector de Fuga de Gás",,"Central Brasil",1865,1865,"N/C","DY8800A+","CENTRAL BRASIL","12343.22",22/06/22,22/06/23,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1866,1866,"N/C","DY8800A+","CENTRAL BRASIL","12342.22",22/06/22,22/06/23,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"BW Tecnologies",1916,1916,"KA418-6000687","GAS ALERT","CLEAN ENVIROMENT","0744.19",19/06/19,18/06/20,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1969,1969,"AD203739038","CBDGC-8800","CENTRAL BRASIL","8869.21",21/07/21,21/07/22,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1970,1970,"AD203739033","CBDGC-8800","CENTRAL BRASIL","8868.21",21/07/21,21/07/22,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1977,1977,1749776,"MGC-1000","CENTRAL BRASIL","15949.23",24/03/23,23/03/24,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1978,1978,1749774,"MGC-1000","CENTRAL BRASIL","24340.24",18/10/24,18/10/25,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1980,1980,1749779,"MGC-1000","CENTRAL BRASIL","6346.20",24/06/20,24/06/21,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1981,1981,1749775,"MGC-1000","CENTRAL BRASIL","6342.20",24/06/20,24/06/21,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1982,1982,1749778,"MGC-1000","CENTRAL BRASIL","13969.22",27/10/22,27/10/23,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1983,1983,1749773,"MGC-1000","CENTRAL BRASIL","6340.20",24/06/20,24/06/21,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1984,1984,1749777,"MGC-1000","CENTRAL BRASIL","6344.20",24/06/20,24/06/21,"ALMOXARIFADO"
"Detector de Fuga de Gás",,"Central Brasil",1985,1985,1749780,"MGC-1000","CENTRAL BRASIL","24339.24",05/08/24,05/08/25,"OBRA 118"
"Detector de Fuga de Gás",,"Minipa",2003,2003,1927288,"MGC-1000","CENTRAL BRASIL","13968.22",27/10/22,27/10/23,"ALMOXARIFADO"
"Detector de Fuga de Gás ",,"Minipa",2002,2002,1927287,"MGC-1000","CENTRAL BRASIL","24413.24",07/08/24,07/08/25,"ALMOXARIFADO"
"Detector de Fuga de Gás ",,"Minipa",2041,2041,1749762,"MGC-1000","CENTRAL BRASIL","15947.23",24/03/23,23/03/24,"ALMOXARIFADO"
"Detector de Fuga de Gás ",,"Minipa",1749771,1749771,1749771,"MGC-1000","CENTRAL BRASIL","24415.24",07/08/24,07/08/25,"OBRA 118"
"Detector Portátil de Gás",,"N/C",1937,1937,"KA418-6003918","N/C","CLEAN ENVIROMENT","0341.25",20/03/25,20/03/26,"ALMOXARIFADO"
"Detector Portátil de Gás",,,2099,2099,"KA422-6033247","N/C","CLEAN ENVIROMENT","0340.25",20/03/25,20/03/26,"ALMOXARIFADO"
"Detector Portátil de Gás",,,2100,2100,"KA422-6033246","N/C","CLEAN ENVIROMENT","1402.24",18/10/24,18/10/25,"OBRA 118"
"Dinamometro Digital",,"instrutemp",2045,2045,977721,"ITFG 6020","INSTRUTEMP","233069/21",19/11/21,19/11/22,"ALMOXARIFADO"
"Dinamometro Digital",,"instrutemp",2046,2046,977753,"ITFG 6020","LAFTEC",2415696,19/06/24,19/06/25,"OBRA 118"
"Durometro de Impacto",,"GE",1822,1822,8372,"MIC10","LAFTEC",2415655,21/06/24,06/06/27,"OBRA 118"
"Durometro de Impacto",,"Woltest",1826,1826,"n/c","MOD4007","TÉCNICA CALIB.",1907709,18/12/19,02/12/22,"ALMOXARIFADO"
"Durometro Rockwell Portatil",,"GE",1823,1823,8403,"MIC10","METRUS","D0688005-0122",18/01/22,02/01/25,"ALMOXARIFADO"
"Eddy Current",,"Olympus","Sagatech","Sagatech",60006150455,"Nortec 600","ENDVALE",1004,22/02/22,22/02/23,"ALMOXARIFADO"
"Esquadro",,"Stanley","ESQ-309","ESQ-309","N/C","46-536","LAFTEC",2421241,19/07/24,09/07/26,"OBRA 118"
"Esquadro","24""","Stanley","ESQ-310","ESQ-310","N/C","46-536","LAFTEC",2421242,19/07/24,09/07/26,"OBRA 118"
"Esquadro",,"Vonder","ESQ-310/1","ESQ-310/1","N/C","N/C","LAFTEC",2423157,25/07/24,15/07/26,"ALMOXARIFADO"
"Esquadro","24""","Stanley","ESQ-311","ESQ-311","N/C","46-536","LAFTEC",2421243,19/07/24,09/07/26,"OBRA 118"
"Esquadro",,"Vonder","ESQ-311/1","ESQ-311/1","N/C","N/C","LAFTEC",2423158,25/07/24,15/07/26,"ALMOXARIFADO"
"Esquadro",,"Stanley","ESQ-312","ESQ-312","N/C","46-536","LAFTEC",2421244,19/07/24,09/07/26,"OBRA 118"
"Esquadro",,"Stanley","ESQ-313","ESQ-313","N/C","46-536","LAFTEC",2421245,19/07/24,09/07/26,"OBRA 118"
"Esquadro",,"Stanley","ESQ-314","ESQ-314","N/C","46-536","LAFTEC",2421246,19/07/24,09/07/26,"ALMOXARIFADO"
"Esquadro",,"Stanley","ESQ-315","ESQ-315","N/C","46-536","LAFTEC",2421247,19/07/24,09/07/26,"OBRA 118"
"Esquadro",,"Stanley","ESQ-316","ESQ-316","N/C","46-536","LAFTEC",2421248,19/07/24,09/07/26,"ALMOXARIFADO"
"Esquadro",,"Stanley","ESQ-317","ESQ-317","N/C","46-536","LAFTEC",2421249,19/07/24,09/07/26,"ALMOXARIFADO"
"Esquadro",,"Stanley","ESQ-318","ESQ-318","N/C","46-536","LAFTEC",2421250,19/07/24,09/07/26,"ALMOXARIFADO"
"Esquadro ",,"Starrett","MDA-001","MDA-001","N/C","53M-300","LAFTEC",2305351,07/03/23,24/02/25,"OBRA 118"
"Esquadro Analógico",,"Stanley","ES-03","ES-03","N/C","46-536","TECNICA CALIB.",2001361,12/03/20,02/03/22,"ALMOXARIFADO"
"Esquadro Analógico",,"Stanley","ESQ-093","ESQ-093","N/C","46-536","TECNICA CALIB.",2001362,12/03/20,02/03/22,"ALMOXARIFADO"
"Esquadro Analógico ",,"N/C","ESQ-001","ESQ-001","N/C","N/C","LAF METROLOGIA",1800638,06/02/18,27/01/20,"ALMOXARIFADO"
"Esquadro Analógico ",,"N/C","ESQ-071","ESQ-071","N/C","N/C","LAF METROLOGIA",1800639,06/02/18,27/01/20,"ALMOXARIFADO"
"Esquadro Analógico ",,"N/C","ESQ-09/A","ESQ-09/A","N/C","N/C","LAF METROLOGIA",1800640,06/02/18,27/01/20,"ALMOXARIFADO"
"Esquadro Analógico ",,"Stanley","ESQ-248/A","ESQ-248/A","N/C","N/C","LAF METROLOGIA",1800642,06/02/18,27/01/20,"ALMOXARIFADO"
"Esquadro Combinado",,"Digimess",1077,1077,"4-4070543","N/C","LAFTEC",2415682,14/06/24,04/06/26,"OBRA 118"
"Esquadro Combinado",,"Zaas ",1840,1840,12050541,"NC","LAFTEC",2415684,18/06/24,08/06/26,"OBRA 118"
"Esquadro Combinado",,"Digimess",1841,1841,"NC","180-202","LAFTEC",2415681,18/06/24,08/06/26,"OBRA 118"
"Esquadro Combinado",,"Zaas ",1842,1842,12050541,"NC","LAFTEC",2415683,18/06/24,08/06/26,"OBRA 118"
"Esquadro de Fio",,"Insize","ESP-001","ESP-001",111780143,"4790-2500","LAFTEC",2415678,14/06/24,04/06/26,"OBRA 118"
"Esquadro de Lâmina",,"Stanley","ES-022","ES-022","N/C","N/C","METRUS","D0688028-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ES-18","ES-18","N/C","N/C","METRUS","D0688029-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ESQ-057","ESQ-057","N/C","N/C","METRUS","D0688030-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Ramada","ESQ-110","ESQ-110","N/C","N/C","METRUS","D0688026-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ESQ-111/A","ESQ-111/A","N/C","N/C","METRUS","D0688008-1118",13/11/18,01/05/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ESQ-112/A","ESQ-112/A","N/C","N/C","METRUS","D0688009-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"N/C","ESQ-139/A","ESQ-139/A","N/C","N/C","METRUS","D0688027-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ESQ-184","ESQ-184","N/C","N/C","METRUS","D0688025-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ESQ-186","ESQ-186","N/C","N/C","METRUS","D0688034-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina",,"Stanley","ESQ-188","ESQ-188","N/C","N/C","METRUS","D0688033-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Lâmina ",,"Stanley","ESQ-187","ESQ-187","N/C","N/C","METRUS","D0688021-0619",10/06/19,26/11/21,"ALMOXARIFADO"
"Esquadro de Precisão",,"N/C","ESQ-027","ESQ-027","N/C","N/C","METRUS","D0688009-1118",13/11/18,02/11/20,"ALMOXARIFADO"
"Esquadro de Precisão",,"N/C","ESQ-110/A","ESQ-110/A","N/C","N/C","METRUS","D0688010-1118",13/11/18,02/11/20,"ALMOXARIFADO"
"Esquadro de Precisão",,"Starrett","ESQ-302","ESQ-302","N/C",3020,"LAFTEC",2415679,14/06/24,04/06/26,"OBRA 118"
"Esquadro de Precisão",,"Starrett","ESQ-303","ESQ-303","N/C","53M-300","METRUS",2311802,11/05/23,30/04/25,"OBRA 118"
"Esquadro de Precisão",,"Starrett","ESQ-304","ESQ-304","N/C","53M-300","LAFTEC",2311803,12/05/23,01/05/25,"OBRA 118"
"Esquadro de Precisão",,"Starrett","ESQ-305","ESQ-305","N/C","53M-300","LAFTEC",2311804,13/05/23,02/05/25,"OBRA 118"
"Esquadro de Precisão",,"Starrett","ESQ-306","ESQ-306","N/C","53M-300","LAFTEC",2311805,14/05/23,03/05/25,"OBRA 118"
"Esquadro de Precisão",,"Starrett","ESQ-307","ESQ-307","N/C","53M-300","LAFTEC",2311806,15/05/23,04/05/25,"OBRA 118"
"Esquadro de Precisão",,"Starrett","ESQ-308","ESQ-308","N/C","53M-300","LAFTEC",2415680,18/06/24,08/06/26,"OBRA 118"
"Fluxometro (Bibimetro)",,"N/C","FLX-001","FLX-001","N/C","N/C","LAFTEC",2224243,24/10/22,24/10/23,"OBRA 118"
"Fluxometro (Bibimetro)",,"MATEC","MDV-001","MDV-001","N/C","SI-100","LAFTEC",2427404,30/08/24,30/08/25,"OBRA 118"
"Fluxometro (Bibimetro)",,,"FLX-002","FLX-002","N/C",,"LAFTEC",2438631,29/11/24,29/11/25,"OBRA 118"
"Fluxometro (Bibimetro)",,,"FLX-003","FLX-003","N/C",,"LAFTEC",2438632,29/11/24,29/11/25,"OBRA 118"
"Fluxometro (Bibimetro)",,,"FLX-004","FLX-004","N/C",,"LAFTEC",2438633,29/11/24,29/11/25,"ALMOXARIFADO"
"Goniometro (Transferidor de Grau)",,,629,629,"4-801074","170-070","LAFTEC",2415685,14/06/24,14/06/25,"OBRA 118"
"Goniometro (Transferidor de Grau)",,"Protractor","GO-001","GO-001","N/C","NO-5001","LAFTEC",,,30/12/00,"OBRA 118"
"Haste Padrão",,"N/C","1837/A","1837/A","N/C","N/C","METRUS","D0688011-0620",08/07/20,03/07/21,"ALMOXARIFADO"
"Haste Padrão",,"Insize","1918/1","1918/1","N/C","N/C","LAFTEC",2302060,26/01/23,21/01/24,"ALMOXARIFADO"
"Haste Padrão",,"Insize","1918/2","1918/2","N/C","N/C","LAFTEC",2302061,26/01/23,21/01/24,"ALMOXARIFADO"
"Haste Padrão",,"Digimess","319/1","319/1","N/C","NC","LAFTEC",2302062,26/01/23,26/01/24,"ALMOXARIFADO"
"Haste Padrão",,"Digimess","319/2","319/1","N/C","NC","LAFTEC",2302063,26/01/23,26/01/24,"ALMOXARIFADO"
"Haste Padrão ",,"N/C","1837/B","1837/B","N/C","N/C","METRUS","D0688012-0620",08/07/20,03/07/21,"ALMOXARIFADO"
"Haste Padrão ","200 mm | 200 mm","Digimess","1835-1","1835-1","N/C","N/C","LAFTEC",2506017,27/02/25,22/02/26,"ALMOXARIFADO"
"Haste Padrão ","220 mm | 220 mm","Digimess","1835-2","1835-2","N/C","N/C","LAFTEC",2506018,27/02/25,22/02/26,"ALMOXARIFADO"
"Haste Padrão ","250 mm | 250 mm","Digimess","1835-3","1835-3","N/C","N/C","LAFTEC",2506019,27/02/25,22/02/26,"ALMOXARIFADO"
"Haste Padrão ","275 mm | 275 mm","Digimess","1835-4","1835-4","N/C","N/C","LAFTEC",2506020,27/02/25,22/02/26,"ALMOXARIFADO"
"Haste Padrão ","325 mm | 325 mm","Digimess","BPA-001","BPA-001","N/C","N/C","LAFTEC",2506021,27/02/25,22/02/26,"ALMOXARIFADO"
"Haste Padrão ","375 mm | 375 mm","Digimess","BPA-002","BPA-002","N/C","N/C","LAFTEC",2506022,27/02/25,22/02/26,"ALMOXARIFADO"
"Holiday Detector",,"END Araujo",593,593,754,"HD-05","END Araujo","021/22",28/01/22,22/07/23,"ALMOXARIFADO"
"Holiday Detector",,"ET Class",1828,1828,"2871-H","ETC-CX ","LAFTEC",2415430,21/06/24,13/12/25,"OBRA 118"
"Holiday Detector",,"ET Class",1973,1973,"4029-J","ETC-DC ","ET Class","0166/2022",29/04/22,21/10/23,"ALMOXARIFADO"
"Holiday Detector",,"ETClass",1986,1986,"4031-E","ETC-CX","LAFTEC",2415431,21/06/24,13/12/25,"OBRA 118"
"Holiday Detector",,"END Araujo",1987,1987,"4005E","ETC-CX","LAFTEC",2438033,25/11/24,19/05/26,"OBRA 118"
"Holiday Detector",,"ETClass",1988,1988,"4028-E","ETC-CX","ETCLASS","0163/2020",22/06/20,14/12/21,"ALMOXARIFADO"
"Holiday Detector",,"END Araujo","n/c",759,759,"HD-30-AC","END Araujo","044/21",19/03/21,10/09/22,"ALMOXARIFADO"
"Holiday Detector",,"END Araujo","n/c",1407,1407,"HD-05-DC","END Araujo",01/05/21,08/01/21,02/07/22,"ALMOXARIFADO"
"Luxímetro ",,"Minipa",776,776,1011000283,"MLM-1011","LAFTEC",2305360,10/03/23,26/08/25,"OBRA 118"
"Luxímetro ",,"Minipa ","LUX-001","LUX-001","N/C","MLM-1011","LAF METROLOGIA",1800619,06/02/18,27/01/20,"ALMOXARIFADO"
"Luxímetro Digital",,"Minipa ",1252,1252,"ML1011003128","MLM-111","LAFTEC",2224238,20/10/22,09/10/24,"ALMOXARIFADO"
"Manômetro","0 kgf/cm² - 250 kgf/cm²","MTR",30,30,"N/C","ND","LAFTEC",2227309,24/11/22,22/02/23,"ALMOXARIFADO"
"Manômetro",,"MTR",31,"PS-031","N/C","N/C","LAFTEC",2215519,08/07/22,06/10/22,"ALMOXARIFADO"
"Manômetro","(0 kgf/cm² | 20 kgf/cm²)","MTR",238,"MAN-242",100563,"N/C","LAFTEC",2304976,02/03/23,31/05/23,"ALMOXARIFADO"
"Manômetro","(0 kgf/cm² | 90 kgf/cm²)","TUB",243,243,100563,"N/C","LAFTEC",2304978,02/03/23,31/05/23,"ALMOXARIFADO"
"Manômetro","(0 a 160 kgf/cm2)","Salvi ",337,337,"N/C","N/C","LAFTEC",2227307,24/11/22,22/02/23,"ALMOXARIFADO"
"Manômetro",,"Naka",1533,1533,30904,"Classe 1 ABNT","METRUS","P0688009-0521",18/05/21,16/08/21,"ALMOXARIFADO"
"Manômetro",,"Naka",1534,1534,30833,"N/C","LAFTEC",2503383,10/02/25,11/05/25,"OBRA 118"
"Manômetro","(0 a 100 kgf/cm2)","Willy",1536,1536,"N/C","Classe A1 ABNT","MSMI","C205258/25",09/07/25,07/10/25,"OBRA 118"
"Manômetro","(0 a 100 kgf/cm2)","Naka",1537,1537,30902,"Classe A1 ABNT","MSMI","C205262/25",09/07/25,07/10/25,"OBRA 118"
"Manômetro","(0 a 10 kgf/cm2)","Naka",1538,1538,"N/C","Classe A1 ABNT","LAFTEC",2304191,19/02/23,20/05/23,"ALMOXARIFADO"
"Manômetro","(0 a 60 kgf/cm2)","Dox",1776,1776,"N/C","N/C","LAFTEC",2518910,17/06/25,15/09/25,"ALMOXARIFADO"
"Manômetro"," (0 a 10 kgf/cm2)","Suplyfer",1868,1868,"N/C","Classe A1 ABNT","LAFTEC",2317942,11/07/23,09/10/23,"ALMOXARIFADO"
"Manômetro","(0 kgf/cm² | 100 kgf/cm²)","Alliance",1997,1997,"N/C","N/C","LAFTEC",2304979,02/03/23,31/05/23,"ALMOXARIFADO"
"Manômetro"," (0 a 10 kgf/cm2)","Asta",3054,"(MAN-EGV-3054)","N/C","N/C","LAFTEC",2304190,17/02/23,18/05/23,"ALMOXARIFADO"
"Manômetro","(0 a 20 kgf/cm2)","ASTA",6115,6115,"N/C","N/C","LAFTEC",2521445,07/07/25,05/10/25,"ALMOXARIFADO"
"Manômetro",,"ARCIDEL",16160,16160,"N/C","N/C","LAFTEC",2215516,08/07/22,06/10/22,"ALMOXARIFADO"
